,yield
2013-11-24 00:00:00,0.00297899312514
2013-11-24 02:00:00,0.00312654597614
2013-11-24 04:00:00,0.0033340134716
2013-11-24 06:00:00,0.00355218032766
2013-11-24 08:00:00,0.00377778913364
2013-11-24 10:00:00,0.00400706608971
2013-11-24 12:00:00,0.00422708778722
2013-11-24 14:00:00,0.00443783308007
2013-11-24 16:00:00,0.00463405664692
2013-11-24 18:00:00,0.00481635567759
2013-11-24 20:00:00,0.00498421506314
2013-11-24 22:00:00,0.0051388202591
2013-11-25 00:00:00,0.00528136710992
2013-11-25 02:00:00,0.00541331166307
2013-11-25 04:00:00,0.00553613149495
2013-11-25 06:00:00,0.00565119077041
2013-11-25 08:00:00,0.00575975465989
2013-11-25 10:00:00,0.00586291688621
2013-11-25 12:00:00,0.00596990805685
2013-11-25 14:00:00,0.00606497126812
2013-11-25 16:00:00,0.00606497126812
2013-11-25 18:00:00,0.00606497126812
2013-11-25 20:00:00,0.00606497126812
2013-11-25 22:00:00,0.00606497126812
2013-11-26 00:00:00,0.00606497126812
2013-11-26 02:00:00,0.00606497126812
2013-11-26 04:00:00,0.00606497126812
2013-11-26 06:00:00,0.00606497126812
2013-11-26 08:00:00,0.00606497126812
2013-11-26 10:00:00,0.00606497126812
2013-11-26 12:00:00,0.00606497126812
2013-11-26 14:00:00,0.00606497126812
2013-11-26 16:00:00,0.00606497126812
2013-11-26 18:00:00,0.00606497126812
2013-11-26 20:00:00,0.00606497126812
2013-11-26 22:00:00,0.00606497126812
2013-11-27 00:00:00,0.00606497126812
2013-11-27 02:00:00,0.00515986228787
2013-11-27 04:00:00,0.00515986228787
2013-11-27 06:00:00,0.00340322319878
2013-11-27 08:00:00,0.00340322319878
2013-11-27 10:00:00,0.00308597814298
2013-11-27 12:00:00,0.00293842529198
2013-11-27 14:00:00,0.00273095779652
2013-11-27 16:00:00,0.00251279094046
2013-11-27 18:00:00,0.00228718213448
2013-11-27 20:00:00,0.00205790517841
2013-11-27 22:00:00,0.00183788348089
2013-12-14 00:00:00,0.0
2013-12-14 02:00:00,5.43782705939e-18
2013-12-14 04:00:00,7.25043607918e-18
2013-12-14 06:00:00,9.06304509898e-19
2013-12-14 08:00:00,0.0
2013-12-14 10:00:00,0.0
2013-12-14 12:00:00,1.8126090198e-18
2013-12-14 14:00:00,0.0
2013-12-14 16:00:00,0.0
